Rusty Lane,1956,Lane,fn,M,,,R:busybody,USA,,,,,,,,,,,,,
Tom Lane,1997,Lenesky,Tom,M,,,R:young,USA,,,,,,,,,,,,,
Matheson Lang,1921-1936,Lang,Matheson,M,1879,1948,RU:,Great Britain; Scots,,,,,,,,,,,,,
Perry Lang,,,,M,,,RU:,,,,,,,,,,,,,,
Robert Lang,1973-1979,Lang,Robert,M,1934,,R:character,Great Britain,,,,,,,,,,,,,
Glenn Langan,1944-1957,Langan,Glenn,M,1917,,R:light lead,USA,,,,,,,,,,,,,
Harry Langdon,1923-1944,Langdon,Harry,M,1884,1944,R:melancholic,USA,,,,,,,,,,,,,
Michael Langdon,1991,Langdon,Michael,F,,1991,R:good guy,USA,,,,,,,,,,,,,
Sue Ane Langdon,1961-1980,Langdon,Sue Ane,F,1940,,"R:lead, comedienne",USA,,,,,,,,,,,,,
Hope Lange,1956-1979,Lange,Hope,F,1931,,R:lead,USA,,,,,,,,,,,,,
Jessica Lange,1976-1982,Lange,Jessica,F,1949,,R:lead,USA,,,,,,,,,,,,,
Frank Langella,1970-1981,Langella,Frank,M,1940,,R:lead,USA,,,,,,,,,,,,,
Frances Langford,1935-1954,Langford,Frances,F,1914,,R:band singer,USA,,,,,,,,,,,,,
Lillie Langtry,1913-1913,LeBreton,Emilie Charlotte,F,1853,1929,R:light lead,USA,,,,,,,,,,,,,
Angela Lansbury,1944-1983,Lansbury,Angela,F,1925,,R:detective,Great Britain,,,,,,,,,,,,,
Joi Lansing,1948-1971,Wassmansdoff,Joyce,F,1928,1972,R:sharp blonde,USA,,,,,,,,,,,,,
Robert Lansing,1959-1977,Broom,Robert H.,M,1929,,"R:cold-eyed, virile lead",USA,,,,,,,,,,,,,
Mario Lanza,1949-1958,Cocozza,Alfredo,M,1921,1959,R:opera singer,USA,,,,,,,,,,,,,
Laurie Lapinski,,,,F,,,RU:,,,,,,,,,,,,,,
Laura LaPlante,1921-1957,LaPlante,Laura,F,1904,,R:lead,USA,[18.209],,,,,,,,,,,,
Jane Lapotaire,1969-1975,Lapotaire,Jane,F,1941,,R:diminutive,USA-Fr,,,,,,,,,,,,,
Rod LaRocque,1917-1941,LaRocque de la Rour,Roderick,M,1896,1969,R:lead in silent films,USA,,,,,,,,,,,,,
Erik Larsen,,,,M,,,RU:,,,,,,,,,,,,,,
Ham Larsen,,,,M,,,RU:,,,,,,,,,,,,,,
Keith Larsen,1952-1960,Larsen,Keith,M,1925,,R:secondstring lead,USA,,,,,,,,,,,,,
Wolf Larson,1991,,,M,1959,,R:jungle boy,USA,,,,,,,,,,,,,
Jack LaRue,1934-1976,Biondolillo,Gaspare,M,1927,,"R:grim-faced, gangster",USA,,,,,,,,,,,,,
Louise Lasser,1971-1980,Lasser,Louise,F,1939,,RU:,USA,,,,,,,,,,,,,
Sidney Lassick,,,,M,,,RU:,,[4.239],,,,,,,,,,,,
Lassie,1943,,Pal,A,19aa,,R:dog,USA,,,,,,,,,,,,,
Louise Latham,1964-1978,Latham,Louise,F,,,RU:,USA,,,,,,,,,,,,,
Frank Latimore,1944-1976,Kline,Frank,M,,,R:lead,USA,,,,,,,,,,,,,
Matt Lattanzi,,,,M,,,RU:,,,,,,,,,,,,,,
Lyle Lattel,,,,M,,,RU:,,,,,,,,,,,,,,
Ellen Hamilton Latzen,1988,Latzen,gn,F,,,R:girl,,,,,,,,,,,,,,
Chester Lauck,1940-1942,Lauck,Chester,M,1902,1980,R:hillbilly: Lum,USA,,,,,,,,,,,,,
Tom Laughlin,1967-1975,Laughlin,Tom,M,1938,,RU:,USA,,,,,,,,,,,,,
Charles Laughton,1939,,,M,1899,1962,R:wry,Great Britain,[4.164],,,,,,,,,,,,
Cyndi Lauper,dow,Lauper,Cynthia,F,1953,,R:sr,USA,,,,,,,,,,,,,
Carol Laure,,,,F,,,RU:,,,,,,,,,,,,,,
Stan Laurel,1915-1974,Jefferson,Arthur Stanley,M,1890,1965,R:thin comic,Great Britain,,,,,,,,,,,,,
Laurel and Hardy,1915-1952,Laurel and Hardy,Stan and Oliver,G,na,,R:comics,Great Britain,,,,,,,,,,,,,
John Laurie,1935,,,M,,1980,RU:,,,,,,,,,,,,,,
Piper Laurie,1950-1978,Jacobs,Rosetta,F,1932,,R:pert,USA,,,,,,,,,,,,,
Ed Lauter,1973-1983,Lauter,Ed,M,1940,,R:general purpose,USA,,,,,,,,,,,,,
Harry Lauter,1948-1968,Lauter,Harry,M,1920,,R:supporting,USA,,,,,,,,,,,,,
Daliah Lavi,1963-1972,Lavi,Daliah,F,1940,,R:lead,Israel,,,,,,,,,,,,,
John Phillip Law,1966-1981,Law,John Phillip,M,1937,,R:lead,USA,,,,,,,,,,,,,
Peter Lawford,1931-1975,Lawford,Peter,M,1923,,R:light lead,Great Britain,,,,,,,,,,,,,
Jody Lawrence,1951-1962,Goddard,Josephine Lawrence,F,1930,,R:lead,USA,,,,,,,,,,,,,
Adam Lawrence,,,,M,,,RU:,,,,,,,,,,,,,,
Barbara Lawrence,1946-1957,Lawrence,Barbara,F,1928,,R:wise-cracking,USA,,,,,,,,,,,,,
Bruno Lawrence,,,,M,,,RU:,,,,,,,,,,,,,,
Delphi Lawrence,1954-1967,Lawrence,Delphi,F,1927,,RU:,Great Britain,,,,,,,,,,,,,
Florence Lawrence,1909-1920,Lawrence,Florence,F,1886,1938,"R:lead, silent screen",USA,,,,,,,,,,,,,
Gertrude Lawrence,1929-1950,Lawrence-Klasen,Alexandra Dagmar,F,1898,1952,R:vivacious,Great Britain,,,,,,,,,,,,,
Marc Lawrence,1933-1976,Goldsmith,Max,M,1910,,R:Italian ganster,USA,,,,,,,,,,,,,
Steve Lawrence,,,,M,,,RU:,,,,,,,,,,,,,,
Leigh Lawson,1974-1978,Lawson,Leigh,M,1944,,R:light lead,Great Britain,,,,,,,,,,,,,
Wilfrid Lawson,1936-1966,Worsnop,Wilfrid,M,1900,1966,R:character,Great Britain,,,,,,,,,,,,,
Frank Lawton,1928-1957,Lawton,Frank,M,1904,1969,R:charming but undynamic,Great Britain,,,,,,,,,,,,,
George Lazenby,1969-1978,Lazenby,George,M,1939,,R:good-looking lead,Australia,,,,,,,,,,,,,
Robin Leach,,,,M,,,RU:,,,,,,,,,,,,,,
Rosemary Leach,,,,F,,,RU:,,,,,,,,,,,,,,
Cloris Leachman,1954-1981,Leachman,Cloris,F,1926,1998x,R:character,USA,[4.43],,,,,,,,,,,,
Zarah Leander,1927-1954,bn,gn,F,1907,1981,R:dark-voived singer,Sweden,,,,,,,,,,,,,
Michael Learned,1972-1981,Learned,Michael,M,1939,,R:motherly,USA,,,,,,,,,,,,,
JeanPierre Leaud,1959-1979,Leaud,Jean-Pierre,M,1944,,R:lead,France,,,,,,,,,,,,,
Stanley Leavitt,,,,M,,,RU:,,,,,,,,,,,,,,
Kelly LeBrock,1984,LeBrock,Kelly,F,,,R:model,USA,Mt(Steven Seagal),,,,,,,,,,,,
Francis Lederer,1928-1959,Lederer,Francis,M,1906,,R:lead,Czechoslovakia,,,,,,,,,,,,,
Otto Lederer,,,,M,,,RU:,,,,,,,,,,,,,,
Anna Lee,1932-1967,Winnifrith,Joanna,F,1914,,R:lead,Great Britain,,,,,,,,,,,,,
Berlinda Lee,1954-1961,Lee,Berlinda,F,1935,1961,R:blonde starlet,Great Britain,,,,,,,,,,,,,
Bill Lee,1987-1990,Lee,Bill,M,1928,,R:musician,USA,,,,,,,,,,,,,
Bernard Lee,1935-1979,Lee,Bernard,M,1908,1981,"R:agent, sergeant",Great Britain,,,,,,,,,,,,,
Brandon Lee,1991,Lee,Brandon,M,1964,1992,R:martial-arts fighter,USA,,,,,,,,,,,,,
Bruce Lee,1969-1979,Lee,Bruce,M,1940,1973,R:diminutive martial-arts fighter,USA,,,,,,,,,,,,,
Canada Lee,1943-1952,Canegata,Lionel,M,1907,1952,R:black,USA,,,,,,,,,,,,,
Carl Lee,,,,M,,,RU:,,,,,,,,,,,,,,
China Lee,,,,F,,,R:sexy,,,,,,,,,,,,,,
Christopher Lee,1947-1983,Lee,Christopher,M,1922,,R:sinister,Great Britain,[34.289][4.291],,,,,,,,,,,,
Cinque Lee,1989,Lee,Cinque,,,,RU:,USA,,,,,,,,,,,,,
Cynthia Lee,,,,F,,,RU:,,,,,,,,,,,,,,
Davey Lee,1928-1930,Lee,Davey,M,1925,,R:child actor,USA,,,,,,,,,,,,,
Dixie Lee,1924-1935,Wyatt,Wilma,F,1911,1952,R:lead,USA,,,,,,,,,,,,,
Dorothy Lee,1929-1939,Lee,Dorothy,F,1911,,R:lead,USA,,,,,,,,,,,,,
Gypsy Rose Lee,1937-1966,Hovick,Louise,F,1913,1970,R:burlesque queen,USA,,,,,,,,,,,,,
Joie Lee,1987-1990,Lee,Joie,F,,,RU:,USA,,,,,,,,,,,,,
Mark Lee,,,,M,,,RU:,,,,,,,,,,,,,,
Michele Lee,1967-1980,Dusiak,Michele,F,1942,,R:lead,USA,,,,,,,,,,,,,
Robbie Lee,,,,,,,RU:,,,,,,,,,,,,,,
Pinky Lee,,,,M,,,R:cowboy,,,,,,,,,,,,,,
Spike,1987-1990,Lee,Spike,M,,,R:hep,USA,"Mainly(D,P)",,,,,,,,,,,,
Richard Leech,1955-1966,McClelland,Richard,M,1922,,R:officer,Great Britain,,,,,,,,,,,,,
Andrea Leeds,1936-1939,Lees,Antoinette,F,1914,,R:lead,USA,,,,,,,,,,,,,
Thelma Leeds,1936-193,Leeds,Thelma,F,1914,,R:singer,USA,,,,,,,,,,,,,
Roger Leenhardt,,,,M,,,RU:,,[4.20],,,,,,,,,,,,
Eva leGallienne,1959,Eva,le Gallienne,F,,1991,R:sr,,,,,,,,,,,,,,
Beatrix Lehman,,,,F,,,RU:,,,,,,,,,,,,,,
Fritz Leiber,1935-1948,Leiber,Fritz,M,1883,1949,R:Shakespearean,USA,,,,,,,,,,,,,
Ron Leibman,1972-1981,Leibman,Ron,M,1937,,R:character,USA,,,,,,,,,,,,,
Don Leifert,,,,M,,,RU:,,,,,,,,,,,,,,
Janet Leigh,1960,Morrison,Jeanette,F,1927,,R:heroine,USA,[4.834][4.150],,,,,,,,,,,,
Jennifer Jason Leigh,1982-1990,Morrow,Jennifer,F,1961,,R:vice maiden victim,USA,,,,,,,,,,,,,
Vivien Leigh,1934-1965,Hartley,Vivien,F,1913,1967,R:beauty,Great Britain,,,,,,,,,,,,,
Barbara LeighHunt,1953-1972,Leigh-Hunt,Barbara,F,1935,,R:character,Great Britain,,,,,,,,,,,,,
Margaret Leighton,1948-1975,Leighton,Margaret,F,1922,1976,R:lead,Great Britain,,,,,,,,,,,,,
Tom Leindecker,,,,M,,,RU:,,,,,,,,,,,,,,
Frederick Leister,1930-1963,Leister,Frederick,M,1885,1970,R:character,Great Britain,,,,,,,,,,,,,
Donovan Leitch,1993,Leitch,Donovan,M,19aa,,R:sr,,,,,,,,,,,,,,
Virginia Leith,1954-1977,Leith,Virginia,F,1932,,R:lead,USA,,,,,,,,,,,,,
Paul LeMat,1974-1983,Le Mat,Paul,M,1952,,R:lead,USA,,,,,,,,,,,,,
Harvey Lembeck,1951-1977,Lembeck,Harvey,M,1925,1982,R:character,USA,,,,,,,,,,,,,
Michael Lembeck,,,,M,,,RU:,,,,,,,,,,,,,,
Jack Lemmon,1953-1982,Lemmon,Jack,M,1925,,R:comedian lead,USA,[4.11],,,,,,,,,,,,
Meadowlark Lemon,,,,,,,RU:,,,,,,,,,,,,,,
John Lennon,,,,M,,,RU:,,,,,,,,,,,,,,
Jean Lenoir,,,,F,,,RU:,,,,,,,,,,,,,,
Rula Lenska,1973-1976,Lenska,Rula,F,,,R:lead,Great Britain,,,,,,,,,,,,,
Leib Lensky,,,,M,,,RU:,,,,,,,,,,,,,,
Lotte Lenya,1931-1977,Blamauer,Caroline,F,1899,1981,R:character,Austria,,,,,,,,,,,,,
Kay Lenz,1973-1979,Lenz,Kay,F,1953,,R:lead,USA,,,,,,,,,,,,,
Rick Lenz,1970-1976,Lenz,Rick,M,1939,,RU:,USA,,,,,,,,,,,,,
Valerie Leon,1967-1978,Leon,Valerie,F,,,R:lead,Great Britain,,,,,,,,,,,,,
Murray Leonard,1944-1955,Leonard,Murray,M,1898,1970,R:burlesque comedian,USA,,,,,,,,,,,,,
Sheldon Leonard,1939-1978,Bershad,Sheldon,M,1907,,R:Runyonesque gansters,USA,,,,,,,,,,,,,
Tea Leoni,1998,Leoni,Tea,F,,,RU:,,,,,,,,,,,,,,
Michael Lerner,1970-1983,Lerner,Michael,M,,,R:character,USA,,,,,,,,,,,,,
Madeleine Leroux,1919,Leroux,Madeleine,,,,RU:,France,,,,,,,,,,,,,
Joan Leslie,1936-1976,Brodell,Joan,F,1925,,"R:pert, pretty lead dancer",USA,,,,,,,,,,,,,
Bob Lesser,,,,M,,,RU:,,,,,,,,,,,,,,
Bruce Lester,1934-1954,Lister,Bruce,M,1912,,R:lead,South Africa,,,,,,,,,,,,,
Buddy Lester,,,,M,,,RU:,,,,,,,,,,,,,,
Mark Lester,1964-1977,Lester,Mark,M,1958,,R:innocent-looking child,Great Britain,,,,,,,,,,,,,
Al Lettieri,1968-1975,Lettieri,Al,M,1927,1975,RU:,USA,,,,,,,,,,,,,
Oscar Levant,1929-1955,Levant,Oscar,M,1906,1972,"R:grouchy, neurotic",USA,,,,,,,,,,,,,
Sam Levene,1936-1979,Levene,Sam,M,1905,1980,R:Runyonesque roles,USA,,,,,,,,,,,,,
David Lewis,,,,M,,,RU:,,[4.10],,,,,,,,,,,,
Diana Lewis,1934-1943,Lewis,Diana,F,1915,,R:lead,USA,,,,,,,,,,,,,
Fiona Lewis,1967-1975,Lewis,Fiona,F,1946,,R:lead,Great Britain,,,,,,,,,,,,,
Geoffrey Lewis,,,,M,,,RU:,,,,,,,,,,,,,,
Jenny Lewis,,,,F,1975,,RU:,,,,,,,,,,,,,,
Jerry Lewis,1949-1983,Lewis,Joseph,M,1926,,R:goon,USA,,,,,,,,,,,,,
Jerry Lee Lewis,,,,M,,,RU:,,,,,,,,,,,,,,
Joe Lewis,1981,,,M,,,RU:,,,,,,,,,,,,,,
Ronald Lewis,1955-1974,Lewis,Ronald,M,1928,1982,R:lead,Great Britain,,,,,,,,,,,,,
Sheldon Lewis,1915-1936,Lewis,Sheldon,M,1868,1958,R:character,USA,,,,,,,,,,,,,
Edward Lexy,1937-1958,Little,Edward Gerald,M,1897,,R:character,Great Britain,,,,,,,,,,,,,
Viola Leyel,,,,F,,,RU:,,,,,,,,,,,,,,
John Leyton,1963-1966,Leyton,John,M,1939,,R:dramatic roles,Great Britain,,,,,,,,,,,,,
Brian Libby,,,,M,,,RU:,,,,,,,,,,,,,,
Liberace,1965,bn,gn,M,,1987,R:singer,USA,,,,,,,,,,,,,
Anne Libert,,,,F,,,RU:,,,,,,,,,,,,,,
Jeremy Licht,,,,M,,,RU:,,,,,,,,,,,,,,
Mitchell Lichtenstein,,,,M,,,RU:,,,,,,,,,,,,,,
Anki Liden,,,,F,,,RU:,,,,,,,,,,,,,,
Ron Liebman,,,,M,,,RU:,,,,,,,,,,,,,,
Lo Lieh,,,,,,,RU:,,,,,,,,,,,,,,
Albert Lieven,1937-1965,Lieven,Albert,M,1906,1971,RU:,Germany,,,,,,,,,,,,,
Gordon Lightfoot,,,,M,,,RU:,,,,,,,,,,,,,,
Beatrice Lillie,1926-1967,Munston,Constance Sylvia,F,1898,1989,"R:sharp-faced, mischievous",Great Britain,,,,,,,,,,,,,
Elmo Lincoln,1914-1919,Linkenhelter,Otto Elmo,M,1889,1952,R:silent hero,USA,,,,,,,,,,,,,
Gunnel Lindblom,1956-1971,Lindblom,Gunnel,F,1931,,R:lead,Sweden,,,,,,,,,,,,,
Eric Linden,1932-1939,Linden,Eric,M,1909,,R:juvenile lead,USA,,,,,,,,,,,,,
Hal Linden,,Lipshitz,Harold,M,1932,,RU:,USA,,,,,,,,,,,,,
Jennie Linden,1963-1977,Linden,Jennie,F,1939,,R:lead,Great Britain,,,,,,,,,,,,,
Cec Linder,1959-1974,Linder,Cec,M,1921,,R:character,Canada,,,,,,,,,,,,,
Max Linder,1907-1925,Leuvielle,Gabriel,M,1883,1925,R:dapper silent comedian,France,,,,,,,,,,,,,
Viveca Lindfors,1947-1982,Lindfors,Viveca,F,1920,,RU:,Sweden,,,,,,,,,,,,,
Audra Lindley,1972-1982,Lindley,Audra,F,,,R:character,USA,,,,,,,,,,,,,
Olga Lindo,1932-1959,Lindo,Olga,F,1898,1968,R:character,Great Britain,[4.516],,,,,,,,,,,,
Margaret Lindsay,1932-1963,Kies,Margaret,F,1910,1981,R:lead,USA,,,,,,,,,,,,,
Mark LinnBaker,,,,M,,,RU:,,,,,,,,,,,,,,
Leon M. Lion,1932,,,M,,,RU:,,,,,,,,,,,,,,
Eugene Lipinski,,,,M,,,RU:,,,,,,,,,,,,,,
Dennis Lipscomb,,,,M,,,RU:,,,,,,,,,,,,,,
Virna Lisi,1963-1978,Pieralisi,Virna,F,1937,,R:voluptuous,Italy,,,,,,,,,,,,,
Francis Lister,1924-1951,Lister,Francis,F,1899,1951,R:character,Great Britain,,,,,,,,,,,,,
Moira Lister,1944-1967,Lister,Moira,F,1923,,R:lead and character,South Africa,,,,,,,,,,,,,
John Litel,1929-1965,Litel,John,M,1895,1972,R:character,USA,,,,,,,,,,,,,
John Lithgow,,,,M,,,RU:,,,,,,,,,,,,,,
Ann Little,1918,,,DM,,,R:innocent,USA,[77.17],,,,,,,,,,,,
Cleavon Little,1968-1972,Little,Cleavon,M,1939,1992,R:lithe comedy actor,USA,,,,,,,,,,,,,
Lucien Littlefield,1922-1956,Littlefield,Lucien,M,1895,1960,R:character,USA,,,,,,,,,,,,,
Jack Livesey,1933-1951,Livesey,Jack,M,1901,1961,RU:,Great Britain,,,,,,,,,,,,,
Roger Livesey,1920-1970,Livesey,Roger,M,1906,1976,"R:husky-voiced, roguish",Great Britain,,,,,,,,,,,,,
Sam Livesey,1930-1937,Livesey,Sam,M,1873,1936,RU:,Great Britain,,,,,,,,,,,,,
Margaret Livingston,1918-1934,Livingston,Margaret,F,1900,,R:silent lead,USA,,,,,,,,,,,,,
Stanley Livingston,,,,M,,,RU:,,,,,,,,,,,,,,
stage,dow,birth,giv,gen,dob,dod,type,orig,pict,,,,,,,,,,,,
Desmond Llewellyn,,,,M,,,RU:,,,,,,,,,,,,,,
Christopher Lloyd,,,,M,,,RU:,,,,,,,,,,,,,,
Doris Lloyd,1930-1967,Lloyd,Doris,F,1899,1968,R:lady,Great Britain,,,,,,,,,,,,,
Emily Lloyd,1987,Lloyd,Emily,F,,,R:sexy,Great Britain,[9.262],,,,,,,,,,,,
Harold Lloyd,1921-1947,Lloyd,Harold,M,1893,1971,R:timid bespectacled `nice' boy,USA,[4.634],,,,,,,,,,,,
Kathleen Lloyd,,,,F,,,RU:,,,,,,,,,,,,,,
Norman Lloyd,1932-1982,Lloyd,Norman,M,1914,1995+,R:mean,Great Britain,,,,,,,,,,,,,
Charles Lloyd-Pack,1951-1972,Pack,Charles,M,1905,,R:self-effacing roles,Great Britain,,,,,,,,,,,,,
Tony LoBianco,1970,LoBianco,Tony,M,,,R:character,USA,,,,,,,,,,,,,
Philip Locke,,,,M,,,RU:,,,,,,,,,,,,,,
Sondra Locke,1976-1990,Locke,Sondra,F,1947,,R:lead,USA,,,,,,,,,,,,,
Calvin Lockhart,1968-1974,Lockhart,Calvin,M,1934,,R:lead,W. India,,,,,,,,,,,,,
Gene Lockhart,1922-1957,Lockhart,Gene,M,1891,1957,"R:musician, genial, shifty parts",Canada,,,,,,,,,,,,,
June Lockhart,1940-1968,Lockhart,June,F,1925,,R:supporting,USA,,,,,,,,,,,,,
Kathleen Lockhart,1936-1954,Lockhart,Kathleen,F,1893,1978,R:character,USA,,,,,,,,,,,,,
Heather Locklear,,,,F,,,RU:,,,,,,,,,,,,,,
Gary Lockwood,1961-1977,Yusolfsky,John Gary,M,1937,,R:lead,USA,[4.140],,,,,,,,,,,,
Margaret Lockwood,1935-1976,Day,Margaret,F,1916,1990,"R:durable, indomitable",Great Britain,[4.580],,,,,,,,,,,,
Barbara Loden,1981,Loden,Barbara,F,,1980,R:sr,,,,,,,,,,,,,,
John Loder,1929-1958,Lowe,John,M,1898,1988,R:lead,Great Britain,,,,,,,,,,,,,
David Lodge,1956-1974,Lodge,David,M,1922,,R:character,Great Britain,[4.1087],,,,,,,,,,,,
John Lodge,1932-1939,Lodge,John,M,1903,,R:lead,USA,,,,,,,,,,,,,
Jaqueline Logan,,,,F,,,RU:,,,,,,,,,,,,,,
Robert F. Logan,1969-1978,Logan,Robert,M,,,R:brawny hero,USA,,,,,,,,,,,,,
Robert Loggia,1956-1983,Loggia,Robert,M,1930,,R:lead,USA,,,,,,,,,,,,,
Marie Lohr,1932-1956,Lohr,Marie,F,1890,1975,R:distinguished,Australia,,,,,,,,,,,,,
Gina Lollobrigida,1947-1976,Lollobrigida,Gina,F,1927,,R:wholesome sexpot,Italy,,,,,,,,,,,,,
Herbert Lom,1940-1983,Kuchacevich ze Schluderpacheru,Herbert Charles Angelo,M,1917,,R:villain or kind,Czechoslovakia,,,,,,,,,,,,,
Herbert Lomas,1932-1953,Lomas,Herbert,M,1887,1961,"R:gaunt, hollow-voiced",Great Britain,,,,,,,,,,,,,
Karina Lombard,1993,Lombard,Karina,F,1969,,R:sexy,USA,,,,,,,,,,,,,
Carole Lombard,1921-1942,Peters,Jane,F,1908,1942,R:charming screwball,USA,[4.333],,,,,,,,,,,,
Sol Lomita,,,,M,,,RU:,,,,,,,,,,,,,,
Julie London,1926,Peck,Julie,F,1926,,R:singer,USA,,,,,,,,,,,,,
John Lone,,,,M,,,RU:,,,,,,,,,,,,,,
Audrey Long,1944-1952,Long,Audrey,F,1924,,R:lead,USA,,,,,,,,,,,,,
Avon Long,,,,M,,,RU:,,,,,,,,,,,,,,
Richard Long,1944-1973,Long,Richard,M,1927,1974,R:lead,USA,,,,,,,,,,,,,
Shelley Long,,,,,,,RU:,,,,,,,,,,,,,,
Walter Long,1916-1937,Long,Walter,M,1879,1952,"R:burly, evil-faced",USA,,,,,,,,,,,,,
John Longden,1929-1960,Longden,John,M,1900,,"R:lead, character",Great Britain,,,,,,,,,,,,,
Terence Longden,1952-1965,Longden,Terence,M,1922,,R:secondary roles,Great Britain,,,,,,,,,,,,,
Claudine Longet,,,,F,,,RU:,,,,,,,,,,,,,,
Ray Lonnen,,,,M,,,RU:,,,,,,,,,,,,,,
Michel Lonsdale,1960-1982,Lonsdale,Michael,M,1931,,R:chubby character,France,,,,,,,,,,,,,
Richard Loo,1931-1971,Loo,Richard,M,1903,1983,R:oriental roles,USA(Ha-Ch),,,,,,,,,,,,,
Herbert Loom,,,,M,,,RU:,,,,,,,,,,,,,,
Nancy Loomis,,,,F,,,RU:,,,,,,,,,,,,,,
Rod Loomis,,,,F,,,RU:,,,,,,,,,,,,,,
Gerry Lopez,,,,,,,RU:,,,,,,,,,,,,,,
Perry Lopez,,,,M,,,RU:,,,,,,,,,,,,,,
Trini Lopez,1966-1973,Lopez,Trini,M,1933,,R:character,USA,,,,,,,,,,,,,
Gail Lorber,,,,F,,,RU:,,,,,,,,,,,,,,
Jack Lord,1951-1979,Ryan,John Joseph,M,1922,,R:craggy-faced,USA,,,,,,,,,,,,,
Marjorie Lord,1938-1966,Lord,Marjorie,F,1922,,R:lead,USA,,,,,,,,,,,,,
Pauline Lord,1935-1936,Lord,Pauline,F,1890,1950,RU:,USA,[4.696],,,,,,,,,,,,
Traci Lords,1980-1990,,,F,,,R:porn,,,,,,,,,,,,,,
Tony Lorea,,,,M,,,RU:,,,,,,,,,,,,,,
Sophia Loren,1953-1980,Scicoloni,Sophia,F,1934,,R:sexy,Italy,[4.684],,,,,,,,,,,,
Marion Lorne,1951-1968,MacDougal,M.L.,F,1886,1968,R:character comedienne,USA,,,,,,,,,,,,,
Peter Lorre,1929-1964,"L\""owenstein",Laszlo,M,1904,1964,R:heavy,Hungary,"[34.119,171][4.666]",,,,,,,,,,,,
Joan Lorring,1941-1954,Ellis,Magdalen,F,1926,,R:nasty teenager,Hong Kong,,,,,,,,,,,,,
Tilly Losch,1936-1946,Losch,Tilly,F,1901,1975,R:exotic dancer,Austria,,,,,,,,,,,,,
Bill Louie,,,,M,,,RU:,,,,,,,,,,,,,,
Joe Louis,,,,M,,,RU:,,,,,,,,,,,,,,
Willard Louis,,,,M,,,RU:,,,,,,,,,,,,,,
Anita Louise,1930-1956,Fremault,Anita Louise,F,1915,1970,R:gentle roles,USA,,,,,,,,,,,,,
Tina Louise,1958-1978,Louise,Tina,F,1934,,R:statuesque lead,USA,[4.247],,,,,,,,,,,,
Bessie Love,1915-1976,Horton,Juanita,F,1898,1986,"R:vivacious, petite",USA,,,,,,,,,,,,,
Montagu Love,1916-1944,Love,Montagu,M,1877,1943,"R:heavily built, stern father",Great Britain,,,,,,,,,,,,,
Phyllis Love,,,,F,,,RU:,,,,,,,,,,,,,,
Frank Lovejoy,1948-1958,Lovejoy,Frank,M,1912,1962,R:tough roles,USA,,,,,,,,,,,,,
Linda Lovelace,1972,Marchiano,Linda,F,1952,,"R:lead, porno",USA,Er(dob 1948),,,,,,,,,,,,
Dyson Lovell,,Lovell,Dyson,M,,,R:ty,Great Britain,,,,,,,,,,,,,
Raymond Lovell,1934-1953,Lovell,Raymond,M,1900,1953,R:pompous or sinister,Canada,,,,,,,,,,,,,
Lyle Lovett,1990-1998,Lovett,Lyle,M,1958,,R:\Agt,\US,,,,,,,,,,,,,
Arthur Lowe,1948-1979,Lowe,Arthur,M,1914,1982,R:rotund,Great Britain,,,,,,,,,,,,,
Edmund Lowe,1917-1960,Lowe,Edmund,M,1890,1971,R:suave lead,USA,,,,,,,,,,,,,
Rob Lowe,,,,M,,,RU:,,[4.784],,,,,,,,,,,,
Carrie Lowell,,Lowell,Carey,F,1964,,RU:,USA,,,,,,,,,,,,,
Robert Lowery,1937-1966,Hanks,R.L.,M,1916,1971,R:lead,USA,,,,,,,,,,,,,
Lynn Lowry,,,,F,,,RU:,,,,,,,,,,,,,,
Morton Lowry,1939-1945,Lowry,Morton,M,1908,,R:character,Great Britain,,,,,,,,,,,,,
Myrna Loy,1926-1981,Williams,Myrna,F,1905,1993,"R:villain, comedy, warm",USA,[4.1035],,,,,,,,,,,,
Lisa Lu,,,,F,,,RU:,,,,,,,,,,,,,,
Antonella Lualdi,1952-1975,dePasquale,Antoinetta,F,1931,,R:lead,Italy,,,,,,,,,,,,,
Arthur Lucan,1935-1952,Towle,Arthur,M,1887,1954,R:comedian,Great Britain,,,,,,,,,,,,,
Lisa Lucas,,,,F,,,RU:,,,,,,,,,,,,,,
Wilfred Lucas,1955-1963,Lucas,Wilfred,M,1926,,R:lead,Great Britain,,,,,,,,,,,,,
Deborah Luce,,,,F,,,RU:,,,,,,,,,,,,,,
Corinne Luchaire,1938-1938,Luchaire,Corinne,F,1921,1950,RU:,France,,,,,,,,,,,,,
Laurence Luckinbill,1970-1980,Luckinbill,Laurence,M,1934,,R:lead,USA,,,,,,,,,,,,,
Charles Ludlam,1971,Ludlam,Charles,M,19aa,1987,R:sr,,,,,,,,,,,,,,
Lorna Luft,,,,F,,,RU:,,,,,,,,,,,,,,
Bela Lugosi,1923-1956,Blasko,Bela Ferenc,M,1882,1956,R:dracula,Hungary,[4.290],,,,,,,,,,,,
Paul Lukas,1928-1968,Lukacs,Pal,M,1887,1971,R:suave lead,Hungary,"[4.504, 280]",,,,,,,,,,,,
Jorge Luke,,,,M,,,RU:,,,,,,,,,,,,,,
Keye Luke,1934-1978,Luke,Keye,M,1904,1991,RU:,China,,,,,,,,,,,,,
